id,product-name,console-name,loose-price,psa-10-price,price-difference,release-date,sales-volume
3560971,Charizard #6,Pokemon 1999 Topps TV,10.42,170.0,159.58,1999-06-01,408
3561028,Pikachu #25,Pokemon 1999 Topps TV,5.63,83.38,77.75,1999-06-01,185
3561207,Charizard #6,Pokemon 2000 Topps Chrome,105.5,619.08,513.58,2000-06-01,141
3561611,A Narrow Escape [Foil] #53,Pokemon 2000 Topps Movie,15.0,111.7,96.7,2000-06-01,234
3975698,Charizard #PC3,Pokemon 2000 Topps TV Clear,50.0,192.84,142.84,2000-06-01,163
959105,Ampharos EX #87,Pokemon Ancient Origins,12.31,110.75,98.44,2015-08-12,148
2244980,Booster Pack,Pokemon Ancient Origins,31.0,97.08,66.08,2015-08-12,137
959117,Energy Retrieval #99,Pokemon Ancient Origins,22.01,58.46,36.45,2015-08-12,144
959034,Entei #15,Pokemon Ancient Origins,5.19,139.18,133.99,2015-08-12,245
959075,Giratina EX #57,Pokemon Ancient Origins,8.49,175.3,166.81,2015-08-12,268
959111,Giratina EX #93,Pokemon Ancient Origins,33.06,312.87,279.81,2015-08-12,193
959040,Gyarados #21,Pokemon Ancient Origins,15.98,312.5,296.52,2015-08-12,809
959137,Gyarados [Reverse Holo] #21,Pokemon Ancient Origins,12.82,250.0,237.18,2015-08-12,268
959107,Hoopa EX #89,Pokemon Ancient Origins,14.87,116.44,101.57,2015-08-12,153
959104,Kyurem EX #86,Pokemon Ancient Origins,11.24,115.0,103.76,2015-08-12,159
959112,Lugia EX #94,Pokemon Ancient Origins,55.02,595.41,540.39,2015-08-12,400
959047,M Ampharos EX #28,Pokemon Ancient Origins,9.99,85.0,75.01,2015-08-12,249
959106,M Ampharos EX #88,Pokemon Ancient Origins,19.5,160.76,141.26,2015-08-12,167
959116,M Rayquaza EX #98,Pokemon Ancient Origins,175.71,1776.33,1600.62,2015-08-12,336
959027,M Sceptile EX #8,Pokemon Ancient Origins,8.31,87.38,79.07,2015-08-12,239
959103,M Sceptile EX #85,Pokemon Ancient Origins,36.67,303.44,266.77,2015-08-12,302
959062,M Tyranitar EX #43,Pokemon Ancient Origins,8.85,98.88,90.03,2015-08-12,358
959110,M Tyranitar EX #92,Pokemon Ancient Origins,37.5,196.68,159.18,2015-08-12,197
959108,Machamp EX #90,Pokemon Ancient Origins,11.0,115.26,104.26,2015-08-12,194
959115,Primal Groudon #97,Pokemon Ancient Origins,67.57,791.5,723.9300000000001,2015-08-12,283
959114,Primal Kyogre #96,Pokemon Ancient Origins,72.44,710.0,637.56,2015-08-12,354
959102,Sceptile EX #84,Pokemon Ancient Origins,16.0,207.51,191.51,2015-08-12,198
959113,Steven #95,Pokemon Ancient Origins,20.0,185.31,165.31,2015-08-12,200
959109,Tyranitar EX #91,Pokemon Ancient Origins,18.99,247.13,228.14,2015-08-12,247
887948,Arcanine #H2,Pokemon Aquapolis,84.77,1412.87,1328.1,2003-01-15,106
842597,Cubone #72,Pokemon Aquapolis,5.42,79.24,73.82,2003-01-15,205
842600,Eevee #75,Pokemon Aquapolis,14.99,133.97,118.98,2003-01-15,163
887967,Entei #H8,Pokemon Aquapolis,90.09,800.27,710.18,2003-01-15,106
887968,Espeon #H9,Pokemon Aquapolis,178.95,1116.46,937.51,2003-01-15,118
887939,Houndoom #H11,Pokemon Aquapolis,146.65,2761.71,2615.06,2003-01-15,130
887940,Hypno #H12,Pokemon Aquapolis,38.86,483.59,444.72999999999996,2003-01-15,102
887935,Kingdra #148,Pokemon Aquapolis,156.25,1500.0,1343.75,2003-01-15,138
842664,Lugia #149,Pokemon Aquapolis,741.73,9700.0,8958.27,2003-01-15,176
887936,Nidoking #150,Pokemon Aquapolis,278.67,2817.89,2539.22,2003-01-15,166
842551,Nidoking #24,Pokemon Aquapolis,5.0,53.27,48.27,2003-01-15,104
842552,Ninetales #25,Pokemon Aquapolis,5.99,72.9,66.91000000000001,2003-01-15,127
842624,Psyduck #104,Pokemon Aquapolis,25.0,199.0,174.0,2003-01-15,128
887950,Scizor #H21,Pokemon Aquapolis,60.0,600.0,540.0,2003-01-15,125
887954,Suicune #H25,Pokemon Aquapolis,94.99,1162.3,1067.31,2003-01-15,124
887955,Tentacruel #H26,Pokemon Aquapolis,50.31,565.85,515.54,2003-01-15,101
887957,Tyranitar #H28,Pokemon Aquapolis,180.0,1905.37,1725.37,2003-01-15,121
842568,Umbreon #41,Pokemon Aquapolis,48.38,218.08,169.70000000000002,2003-01-15,184
887958,Umbreon #H29,Pokemon Aquapolis,257.52,2550.0,2292.48,2003-01-15,162
887960,Victreebel #H30,Pokemon Aquapolis,37.08,349.39,312.31,2003-01-15,128
925620,Charizard #1,Pokemon Arceus,22.46,1175.0,1152.54,2009-11-04,132
5551260,Charizard [Cracked Ice] #1,Pokemon Arceus,19.99,1852.13,1832.14,,163
3489660,Beedrill V #161,Pokemon Astral Radiance,35.74,109.1,73.35999999999999,2022-05-27,904
3508408,Galarian Articuno V #TG16,Pokemon Astral Radiance,7.96,41.86,33.9,2022-05-27,500
3508412,Galarian Moltres V #TG20,Pokemon Astral Radiance,10.21,52.61,42.4,2022-05-27,650
3508411,Galarian Zapdos V #TG19,Pokemon Astral Radiance,7.99,51.74,43.75,2022-05-27,752
3489677,Garchomp V #178,Pokemon Astral Radiance,5.41,36.49,31.080000000000002,2022-05-27,311
3508415,Garchomp V #TG23,Pokemon Astral Radiance,55.95,220.0,164.05,2022-05-27,887
3489683,Gardenia's Vigor #184,Pokemon Astral Radiance,8.34,43.5,35.16,2022-05-27,373
3489690,Heatran VMAX #191,Pokemon Astral Radiance,6.9,34.99,28.090000000000003,2022-05-27,172
3489662,Hisuian Lilligant V #163,Pokemon Astral Radiance,14.15,59.52,45.370000000000005,2022-05-27,532
3489697,Hisuian Samurott VSTAR #197,Pokemon Astral Radiance,7.4,33.56,26.160000000000004,2022-05-27,236
3489674,Hisuian Sneasler V #175,Pokemon Astral Radiance,26.2,79.33,53.129999999999995,2022-05-27,317
3489692,Hisuian Typhlosion VSTAR #193,Pokemon Astral Radiance,9.19,54.99,45.800000000000004,2022-05-27,215
3508406,Ice Rider Calyrex V #TG14,Pokemon Astral Radiance,5.89,31.99,26.099999999999998,2022-05-27,453
3508407,Ice Rider Calyrex VMAX #TG15,Pokemon Astral Radiance,6.0,32.0,26.0,2022-05-27,347
3489685,Irida #186,Pokemon Astral Radiance,14.93,54.99,40.06,2022-05-27,483
3489704,Irida #204,Pokemon Astral Radiance,12.42,42.0,29.58,2022-05-27,184
3489669,Jirachi V #170,Pokemon Astral Radiance,7.46,47.0,39.54,2022-05-27,336
3489670,Machamp V #171,Pokemon Astral Radiance,8.13,38.35,30.22,2022-05-27,155
3489671,Machamp V #172,Pokemon Astral Radiance,129.49,376.3,246.81,2022-05-27,737
3489693,Machamp VMAX #194,Pokemon Astral Radiance,10.41,49.81,39.400000000000006,2022-05-27,265
3489676,Origin Forme Dialga V #177,Pokemon Astral Radiance,48.55,166.0,117.45,2022-05-27,1146
3489698,Origin Forme Dialga VSTAR #198,Pokemon Astral Radiance,15.45,48.99,33.540000000000006,2022-05-27,171
3489710,Origin Forme Dialga VSTAR #210,Pokemon Astral Radiance,13.77,51.33,37.56,2022-05-27,375
3489666,Origin Forme Palkia V #167,Pokemon Astral Radiance,50.44,211.25,160.81,2022-05-27,1085
3489691,Origin Forme Palkia VSTAR #192,Pokemon Astral Radiance,16.97,46.36,29.39,2022-05-27,160
3489708,Origin Forme Palkia VSTAR #208,Pokemon Astral Radiance,8.99,36.69,27.699999999999996,2022-05-27,294
3489687,Roxanne #188,Pokemon Astral Radiance,7.02,32.49,25.470000000000002,2022-05-27,351
3508409,Shadow Rider Calyrex V #TG17,Pokemon Astral Radiance,5.99,33.49,27.5,2022-05-27,436
3508410,Shadow Rider Calyrex VMAX #TG18,Pokemon Astral Radiance,8.07,42.5,34.43,2022-05-27,418
3508405,Starmie V #TG13,Pokemon Astral Radiance,76.94,282.0,205.06,2022-05-27,1436
3489714,Temple of Sinnoh #214,Pokemon Astral Radiance,9.38,36.0,26.619999999999997,2022-05-27,343
3508413,Zacian V #TG21,Pokemon Astral Radiance,17.27,71.92,54.650000000000006,2022-05-27,785
3508414,Zamazenta V #TG22,Pokemon Astral Radiance,5.59,32.94,27.349999999999998,2022-05-27,454
959609,Darkrai EX #118,Pokemon BREAKpoint,17.86,218.09,200.23000000000002,2016-03-02,387
959608,Espeon EX #117,Pokemon BREAKpoint,22.99,264.31,241.32,2016-03-02,518
959543,Espeon EX #52,Pokemon BREAKpoint,8.7,102.66,93.96,2016-03-02,273
