id,product-name,console-name,loose-price,psa-10-price,price-difference,release-date,sales-volume
3560971,Charizard #6,Pokemon 1999 Topps TV,12.52,166.49,153.97,1999-06-01,428
3561028,Pikachu #25,Pokemon 1999 Topps TV,5.0,83.38,78.38,1999-06-01,248
3561207,Charizard #6,Pokemon 2000 Topps Chrome,91.57,605.0,513.4300000000001,2000-06-01,141
3975698,Charizard #PC3,Pokemon 2000 Topps TV Clear,50.0,204.26,154.26,2000-06-01,159
959105,Ampharos EX #87,Pokemon Ancient Origins,11.97,110.75,98.78,2015-08-12,135
2244980,Booster Pack,Pokemon Ancient Origins,31.0,97.08,66.08,2015-08-12,122
959117,Energy Retrieval #99,Pokemon Ancient Origins,17.5,64.63,47.129999999999995,2015-08-12,126
959075,Giratina EX #57,Pokemon Ancient Origins,10.65,150.0,139.35,2015-08-12,257
959111,Giratina EX #93,Pokemon Ancient Origins,35.0,355.0,320.0,2015-08-12,228
959040,Gyarados #21,Pokemon Ancient Origins,18.14,325.0,306.86,2015-08-12,769
959137,Gyarados [Reverse Holo] #21,Pokemon Ancient Origins,14.14,250.0,235.86,2015-08-12,256
959107,Hoopa EX #89,Pokemon Ancient Origins,14.66,129.99,115.33000000000001,2015-08-12,141
959104,Kyurem EX #86,Pokemon Ancient Origins,12.57,128.55,115.98000000000002,2015-08-12,196
959112,Lugia EX #94,Pokemon Ancient Origins,47.66,642.5,594.84,2015-08-12,376
959047,M Ampharos EX #28,Pokemon Ancient Origins,11.13,85.0,73.87,2015-08-12,235
959106,M Ampharos EX #88,Pokemon Ancient Origins,21.43,160.76,139.32999999999998,2015-08-12,147
959116,M Rayquaza EX #98,Pokemon Ancient Origins,259.08,2000.0,1740.92,2015-08-12,443
959027,M Sceptile EX #8,Pokemon Ancient Origins,9.9,115.3,105.39999999999999,2015-08-12,217
959103,M Sceptile EX #85,Pokemon Ancient Origins,36.74,322.77,286.03,2015-08-12,256
959062,M Tyranitar EX #43,Pokemon Ancient Origins,11.01,99.99,88.97999999999999,2015-08-12,400
959110,M Tyranitar EX #92,Pokemon Ancient Origins,29.97,232.67,202.7,2015-08-12,295
959108,Machamp EX #90,Pokemon Ancient Origins,10.78,121.99,111.21,2015-08-12,186
959115,Primal Groudon #97,Pokemon Ancient Origins,83.0,768.53,685.53,2015-08-12,293
959114,Primal Kyogre #96,Pokemon Ancient Origins,59.0,750.0,691.0,2015-08-12,424
959102,Sceptile EX #84,Pokemon Ancient Origins,15.23,222.48,207.25,2015-08-12,208
959113,Steven #95,Pokemon Ancient Origins,18.94,185.03,166.09,2015-08-12,190
959109,Tyranitar EX #91,Pokemon Ancient Origins,19.81,273.0,253.19,2015-08-12,230
887948,Arcanine #H2,Pokemon Aquapolis,98.12,1412.87,1314.75,2003-01-15,106
842597,Cubone #72,Pokemon Aquapolis,5.78,81.75,75.97,2003-01-15,184
842600,Eevee #75,Pokemon Aquapolis,15.74,133.08,117.34000000000002,2003-01-15,194
887967,Entei #H8,Pokemon Aquapolis,90.83,801.02,710.1899999999999,2003-01-15,104
887968,Espeon #H9,Pokemon Aquapolis,171.85,1136.96,965.11,2003-01-15,123
842603,Grimer #79,Pokemon Aquapolis,5.26,64.1,58.839999999999996,2003-01-15,129
887939,Houndoom #H11,Pokemon Aquapolis,149.92,2799.91,2649.99,2003-01-15,121
887940,Hypno #H12,Pokemon Aquapolis,58.95,485.32,426.37,2003-01-15,118
887935,Kingdra #148,Pokemon Aquapolis,220.73,1870.34,1649.61,2003-01-15,140
842664,Lugia #149,Pokemon Aquapolis,804.58,11150.0,10345.42,2003-01-15,194
887936,Nidoking #150,Pokemon Aquapolis,240.02,3012.52,2772.5,2003-01-15,175
842551,Nidoking #24,Pokemon Aquapolis,5.37,54.79,49.42,2003-01-15,125
842552,Ninetales #25,Pokemon Aquapolis,6.76,72.9,66.14,2003-01-15,127
842624,Psyduck #104,Pokemon Aquapolis,25.0,199.0,174.0,2003-01-15,127
887950,Scizor #H21,Pokemon Aquapolis,60.93,600.0,539.07,2003-01-15,140
887954,Suicune #H25,Pokemon Aquapolis,82.52,1162.3,1079.78,2003-01-15,127
887955,Tentacruel #H26,Pokemon Aquapolis,49.76,565.85,516.09,2003-01-15,113
887957,Tyranitar #H28,Pokemon Aquapolis,244.96,1904.12,1659.1599999999999,2003-01-15,122
842568,Umbreon #41,Pokemon Aquapolis,42.5,263.43,220.93,2003-01-15,175
887958,Umbreon #H29,Pokemon Aquapolis,224.72,2596.37,2371.65,2003-01-15,155
887960,Victreebel #H30,Pokemon Aquapolis,30.75,349.53,318.78,2003-01-15,128
887962,Zapdos #H32,Pokemon Aquapolis,94.0,845.07,751.07,2003-01-15,102
925727,Arceus #AR9,Pokemon Arceus,8.43,336.0,327.57,2009-11-04,127
925620,Charizard #1,Pokemon Arceus,21.0,1175.0,1154.0,2009-11-04,144
5551260,Charizard [Cracked Ice] #1,Pokemon Arceus,19.99,1848.81,1828.82,,159
3508417,Bea #TG25,Pokemon Astral Radiance,5.85,45.86,40.01,2022-05-27,405
3489660,Beedrill V #161,Pokemon Astral Radiance,36.97,113.87,76.9,2022-05-27,783
3508408,Galarian Articuno V #TG16,Pokemon Astral Radiance,8.21,40.11,31.9,2022-05-27,486
3508412,Galarian Moltres V #TG20,Pokemon Astral Radiance,14.2,63.01,48.81,2022-05-27,549
3508411,Galarian Zapdos V #TG19,Pokemon Astral Radiance,7.92,56.42,48.5,2022-05-27,541
3489677,Garchomp V #178,Pokemon Astral Radiance,5.9,45.5,39.6,2022-05-27,264
3508415,Garchomp V #TG23,Pokemon Astral Radiance,60.0,247.76,187.76,2022-05-27,860
3489683,Gardenia's Vigor #184,Pokemon Astral Radiance,6.74,44.69,37.949999999999996,2022-05-27,343
3489690,Heatran VMAX #191,Pokemon Astral Radiance,7.01,34.99,27.980000000000004,2022-05-27,217
3489662,Hisuian Lilligant V #163,Pokemon Astral Radiance,17.04,67.1,50.059999999999995,2022-05-27,531
3489697,Hisuian Samurott VSTAR #197,Pokemon Astral Radiance,7.51,33.59,26.080000000000005,2022-05-27,219
3489709,Hisuian Samurott VSTAR #209,Pokemon Astral Radiance,5.05,33.5,28.45,2022-05-27,257
3489674,Hisuian Sneasler V #175,Pokemon Astral Radiance,21.87,85.44,63.56999999999999,2022-05-27,338
3489692,Hisuian Typhlosion VSTAR #193,Pokemon Astral Radiance,9.69,61.96,52.27,2022-05-27,242
3508406,Ice Rider Calyrex V #TG14,Pokemon Astral Radiance,6.5,35.28,28.78,2022-05-27,439
3508407,Ice Rider Calyrex VMAX #TG15,Pokemon Astral Radiance,5.99,35.0,29.009999999999998,2022-05-27,320
3489685,Irida #186,Pokemon Astral Radiance,14.99,56.46,41.47,2022-05-27,449
3489704,Irida #204,Pokemon Astral Radiance,10.79,38.62,27.83,2022-05-27,223
3489669,Jirachi V #170,Pokemon Astral Radiance,6.47,44.32,37.85,2022-05-27,319
3489705,Kamado #205,Pokemon Astral Radiance,5.02,32.85,27.830000000000002,2022-05-27,128
