id,product-name,console-name,loose-price,psa-10-price,price-difference,release-date,sales-volume
3560971,Charizard #6,Pokemon 1999 Topps TV,12.26,164.36,152.10000000000002,1999-06-01,423
3560965,Charmander #4,Pokemon 1999 Topps TV,5.31,42.81,37.5,1999-06-01,129
3561028,Pikachu #25,Pokemon 1999 Topps TV,5.0,83.38,78.38,1999-06-01,239
3561207,Charizard #6,Pokemon 2000 Topps Chrome,87.5,605.0,517.5,2000-06-01,139
3975698,Charizard #PC3,Pokemon 2000 Topps TV Clear,50.0,204.79,154.79,2000-06-01,158
959105,Ampharos EX #87,Pokemon Ancient Origins,12.32,110.75,98.43,2015-08-12,139
2244980,Booster Pack,Pokemon Ancient Origins,31.0,97.08,66.08,2015-08-12,113
959117,Energy Retrieval #99,Pokemon Ancient Origins,19.99,72.0,52.010000000000005,2015-08-12,121
959034,Entei #15,Pokemon Ancient Origins,5.0,139.18,134.18,2015-08-12,263
959075,Giratina EX #57,Pokemon Ancient Origins,9.03,165.5,156.47,2015-08-12,264
959111,Giratina EX #93,Pokemon Ancient Origins,34.03,355.0,320.97,2015-08-12,221
959040,Gyarados #21,Pokemon Ancient Origins,15.1,325.0,309.9,2015-08-12,648
959137,Gyarados [Reverse Holo] #21,Pokemon Ancient Origins,14.1,250.0,235.9,2015-08-12,243
959107,Hoopa EX #89,Pokemon Ancient Origins,14.66,129.98,115.32,2015-08-12,138
959104,Kyurem EX #86,Pokemon Ancient Origins,13.59,159.04,145.45,2015-08-12,202
959086,Lugia EX #68,Pokemon Ancient Origins,5.29,83.09,77.8,2015-08-12,413
959112,Lugia EX #94,Pokemon Ancient Origins,48.45,642.5,594.05,2015-08-12,425
959047,M Ampharos EX #28,Pokemon Ancient Origins,11.36,85.0,73.64,2015-08-12,272
959106,M Ampharos EX #88,Pokemon Ancient Origins,21.43,160.76,139.32999999999998,2015-08-12,147
959116,M Rayquaza EX #98,Pokemon Ancient Origins,222.5,1936.0,1713.5,2015-08-12,412
959027,M Sceptile EX #8,Pokemon Ancient Origins,9.9,115.3,105.39999999999999,2015-08-12,217
959103,M Sceptile EX #85,Pokemon Ancient Origins,34.36,347.94,313.58,2015-08-12,236
959062,M Tyranitar EX #43,Pokemon Ancient Origins,12.72,99.99,87.27,2015-08-12,355
959110,M Tyranitar EX #92,Pokemon Ancient Origins,27.25,232.67,205.42,2015-08-12,295
959108,Machamp EX #90,Pokemon Ancient Origins,11.0,121.99,110.99,2015-08-12,201
959115,Primal Groudon #97,Pokemon Ancient Origins,99.79,780.63,680.84,2015-08-12,278
959114,Primal Kyogre #96,Pokemon Ancient Origins,61.0,750.0,689.0,2015-08-12,446
959102,Sceptile EX #84,Pokemon Ancient Origins,15.23,222.48,207.25,2015-08-12,208
959113,Steven #95,Pokemon Ancient Origins,19.03,185.01,165.98,2015-08-12,199
959109,Tyranitar EX #91,Pokemon Ancient Origins,19.79,273.0,253.21,2015-08-12,221
887948,Arcanine #H2,Pokemon Aquapolis,94.67,1412.87,1318.1999999999998,2003-01-15,104
842597,Cubone #72,Pokemon Aquapolis,6.08,81.75,75.67,2003-01-15,195
842600,Eevee #75,Pokemon Aquapolis,15.74,132.57,116.83,2003-01-15,184
887967,Entei #H8,Pokemon Aquapolis,90.83,801.02,710.1899999999999,2003-01-15,103
887968,Espeon #H9,Pokemon Aquapolis,206.25,1367.55,1161.3,2003-01-15,125
842603,Grimer #79,Pokemon Aquapolis,5.49,64.1,58.60999999999999,2003-01-15,163
887939,Houndoom #H11,Pokemon Aquapolis,136.73,2808.51,2671.78,2003-01-15,119
887940,Hypno #H12,Pokemon Aquapolis,48.07,485.62,437.55,2003-01-15,118
887935,Kingdra #148,Pokemon Aquapolis,221.4,1871.54,1650.1399999999999,2003-01-15,138
842664,Lugia #149,Pokemon Aquapolis,817.29,11150.0,10332.71,2003-01-15,191
887936,Nidoking #150,Pokemon Aquapolis,239.44,3049.79,2810.35,2003-01-15,170
842551,Nidoking #24,Pokemon Aquapolis,5.37,54.9,49.53,2003-01-15,122
842552,Ninetales #25,Pokemon Aquapolis,6.99,72.9,65.91000000000001,2003-01-15,141
842624,Psyduck #104,Pokemon Aquapolis,24.94,199.0,174.06,2003-01-15,126
887950,Scizor #H21,Pokemon Aquapolis,61.38,600.0,538.62,2003-01-15,138
887954,Suicune #H25,Pokemon Aquapolis,92.34,1269.97,1177.63,2003-01-15,124
887955,Tentacruel #H26,Pokemon Aquapolis,54.3,565.85,511.55,2003-01-15,111
887957,Tyranitar #H28,Pokemon Aquapolis,244.96,1904.12,1659.1599999999999,2003-01-15,123
842568,Umbreon #41,Pokemon Aquapolis,43.75,263.43,219.68,2003-01-15,170
887958,Umbreon #H29,Pokemon Aquapolis,210.93,2596.37,2385.44,2003-01-15,150
887960,Victreebel #H30,Pokemon Aquapolis,30.88,349.57,318.69,2003-01-15,126
887962,Zapdos #H32,Pokemon Aquapolis,110.23,845.48,735.25,2003-01-15,105
925727,Arceus #AR9,Pokemon Arceus,8.52,336.0,327.48,2009-11-04,124
925620,Charizard #1,Pokemon Arceus,19.75,1175.0,1155.25,2009-11-04,148
5551260,Charizard [Cracked Ice] #1,Pokemon Arceus,19.99,1847.94,1827.95,,148
3508416,Allister #TG24,Pokemon Astral Radiance,5.02,37.46,32.44,2022-05-27,363
3508417,Bea #TG25,Pokemon Astral Radiance,5.85,45.86,40.01,2022-05-27,393
3489660,Beedrill V #161,Pokemon Astral Radiance,40.77,119.5,78.72999999999999,2022-05-27,778
3508408,Galarian Articuno V #TG16,Pokemon Astral Radiance,8.89,40.03,31.14,2022-05-27,537
3508412,Galarian Moltres V #TG20,Pokemon Astral Radiance,12.24,63.01,50.769999999999996,2022-05-27,647
3508411,Galarian Zapdos V #TG19,Pokemon Astral Radiance,8.29,56.26,47.97,2022-05-27,534
3489677,Garchomp V #178,Pokemon Astral Radiance,5.99,45.5,39.51,2022-05-27,296
3508415,Garchomp V #TG23,Pokemon Astral Radiance,62.98,260.0,197.02,2022-05-27,852
3489683,Gardenia's Vigor #184,Pokemon Astral Radiance,7.0,44.69,37.69,2022-05-27,331
3489690,Heatran VMAX #191,Pokemon Astral Radiance,7.38,34.99,27.610000000000003,2022-05-27,196
3489662,Hisuian Lilligant V #163,Pokemon Astral Radiance,16.99,69.72,52.730000000000004,2022-05-27,506
3489697,Hisuian Samurott VSTAR #197,Pokemon Astral Radiance,6.98,33.59,26.610000000000003,2022-05-27,217
3489709,Hisuian Samurott VSTAR #209,Pokemon Astral Radiance,5.1,33.5,28.4,2022-05-27,240
3489674,Hisuian Sneasler V #175,Pokemon Astral Radiance,24.5,85.44,60.94,2022-05-27,408
3489692,Hisuian Typhlosion VSTAR #193,Pokemon Astral Radiance,9.12,61.96,52.84,2022-05-27,230
3508406,Ice Rider Calyrex V #TG14,Pokemon Astral Radiance,6.6,35.28,28.68,2022-05-27,455
3508407,Ice Rider Calyrex VMAX #TG15,Pokemon Astral Radiance,5.88,35.0,29.12,2022-05-27,315
3489685,Irida #186,Pokemon Astral Radiance,14.99,55.0,40.01,2022-05-27,454
3489669,Jirachi V #170,Pokemon Astral Radiance,6.62,44.32,37.7,2022-05-27,328
3489705,Kamado #205,Pokemon Astral Radiance,5.01,32.85,27.840000000000003,2022-05-27,124
3508396,Kingdra #TG03,Pokemon Astral Radiance,5.0,70.94,65.94,2022-05-27,728
3489670,Machamp V #171,Pokemon Astral Radiance,8.33,49.0,40.67,2022-05-27,171
3489671,Machamp V #172,Pokemon Astral Radiance,151.18,367.28,216.09999999999997,2022-05-27,744
3489693,Machamp VMAX #194,Pokemon Astral Radiance,10.99,49.99,39.0,2022-05-27,219
3489676,Origin Forme Dialga V #177,Pokemon Astral Radiance,54.1,192.5,138.4,2022-05-27,809
3489698,Origin Forme Dialga VSTAR #198,Pokemon Astral Radiance,14.0,47.75,33.75,2022-05-27,170
3489710,Origin Forme Dialga VSTAR #210,Pokemon Astral Radiance,11.87,52.5,40.63,2022-05-27,327
3489666,Origin Forme Palkia V #167,Pokemon Astral Radiance,63.61,229.89,166.27999999999997,2022-05-27,869
3489691,Origin Forme Palkia VSTAR #192,Pokemon Astral Radiance,11.6,48.97,37.37,2022-05-27,164
