id,product-name,console-name,loose-price,psa-10-price,price-difference,release-date,sales-volume
3560971,Charizard #6,Pokemon 1999 Topps TV,9.57,170.0,160.43,1999-06-01,370
3561207,Charizard #6,Pokemon 2000 Topps Chrome,93.0,644.65,551.65,2000-06-01,138
3975698,Charizard #PC3,Pokemon 2000 Topps TV Clear,44.26,218.6,174.34,2000-06-01,165
959105,Ampharos EX #87,Pokemon Ancient Origins,13.99,109.86,95.87,2015-08-12,183
2244980,Booster Pack,Pokemon Ancient Origins,31.0,97.08,66.08,2015-08-12,162
959117,Energy Retrieval #99,Pokemon Ancient Origins,24.5,58.46,33.96,2015-08-12,124
959075,Giratina EX #57,Pokemon Ancient Origins,9.9,175.85,165.95,2015-08-12,239
959111,Giratina EX #93,Pokemon Ancient Origins,19.99,299.99,280.0,2015-08-12,202
959040,Gyarados #21,Pokemon Ancient Origins,9.86,312.5,302.64,2015-08-12,744
959137,Gyarados [Reverse Holo] #21,Pokemon Ancient Origins,11.39,252.08,240.69,2015-08-12,215
959107,Hoopa EX #89,Pokemon Ancient Origins,14.03,125.99,111.96,2015-08-12,132
959104,Kyurem EX #86,Pokemon Ancient Origins,11.24,115.0,103.76,2015-08-12,171
959086,Lugia EX #68,Pokemon Ancient Origins,5.49,83.32,77.83,2015-08-12,452
959112,Lugia EX #94,Pokemon Ancient Origins,44.0,575.0,531.0,2015-08-12,362
959047,M Ampharos EX #28,Pokemon Ancient Origins,11.64,80.0,68.36,2015-08-12,256
959106,M Ampharos EX #88,Pokemon Ancient Origins,19.95,160.76,140.81,2015-08-12,170
959116,M Rayquaza EX #98,Pokemon Ancient Origins,129.97,1602.35,1472.3799999999999,2015-08-12,343
959027,M Sceptile EX #8,Pokemon Ancient Origins,9.23,90.63,81.39999999999999,2015-08-12,225
959103,M Sceptile EX #85,Pokemon Ancient Origins,34.19,235.5,201.31,2015-08-12,220
959062,M Tyranitar EX #43,Pokemon Ancient Origins,9.58,88.52,78.94,2015-08-12,370
959110,M Tyranitar EX #92,Pokemon Ancient Origins,28.0,196.68,168.68,2015-08-12,170
959108,Machamp EX #90,Pokemon Ancient Origins,11.25,114.24,102.99,2015-08-12,181
959115,Primal Groudon #97,Pokemon Ancient Origins,79.94,775.39,695.45,2015-08-12,310
959114,Primal Kyogre #96,Pokemon Ancient Origins,66.49,710.0,643.51,2015-08-12,316
959102,Sceptile EX #84,Pokemon Ancient Origins,18.66,207.51,188.85,2015-08-12,153
959113,Steven #95,Pokemon Ancient Origins,18.27,187.5,169.23,2015-08-12,183
959118,Trainers' Mail #100,Pokemon Ancient Origins,7.49,57.0,49.51,2015-08-12,107
959109,Tyranitar EX #91,Pokemon Ancient Origins,18.99,225.0,206.01,2015-08-12,242
887948,Arcanine #H2,Pokemon Aquapolis,75.83,1397.85,1322.02,2003-01-15,110
842597,Cubone #72,Pokemon Aquapolis,5.33,78.99,73.66,2003-01-15,157
842600,Eevee #75,Pokemon Aquapolis,13.31,103.28,89.97,2003-01-15,154
887967,Entei #H8,Pokemon Aquapolis,90.01,798.0,707.99,2003-01-15,111
887968,Espeon #H9,Pokemon Aquapolis,199.99,1089.13,889.1400000000001,2003-01-15,124
887939,Houndoom #H11,Pokemon Aquapolis,156.7,2899.0,2742.3,2003-01-15,122
887940,Hypno #H12,Pokemon Aquapolis,30.37,484.04,453.67,2003-01-15,105
887935,Kingdra #148,Pokemon Aquapolis,153.26,1599.99,1446.73,2003-01-15,142
842664,Lugia #149,Pokemon Aquapolis,730.0,10331.6,9601.6,2003-01-15,176
887936,Nidoking #150,Pokemon Aquapolis,288.22,2800.0,2511.7799999999997,2003-01-15,173
842552,Ninetales #25,Pokemon Aquapolis,5.97,61.0,55.03,2003-01-15,119
842624,Psyduck #104,Pokemon Aquapolis,23.48,199.0,175.52,2003-01-15,132
887950,Scizor #H21,Pokemon Aquapolis,62.82,600.0,537.18,2003-01-15,122
887954,Suicune #H25,Pokemon Aquapolis,96.25,1100.21,1003.96,2003-01-15,124
887957,Tyranitar #H28,Pokemon Aquapolis,188.16,1904.48,1716.32,2003-01-15,123
842568,Umbreon #41,Pokemon Aquapolis,41.99,215.0,173.01,2003-01-15,147
887958,Umbreon #H29,Pokemon Aquapolis,247.66,2596.37,2348.71,2003-01-15,145
887960,Victreebel #H30,Pokemon Aquapolis,34.0,234.38,200.38,2003-01-15,117
925620,Charizard #1,Pokemon Arceus,21.87,1175.0,1153.13,2009-11-04,120
5551260,Charizard [Cracked Ice] #1,Pokemon Arceus,22.5,1918.17,1895.67,,132
3508417,Bea #TG25,Pokemon Astral Radiance,5.0,38.0,33.0,2022-05-27,553
3489660,Beedrill V #161,Pokemon Astral Radiance,29.87,97.31,67.44,2022-05-27,1074
3508408,Galarian Articuno V #TG16,Pokemon Astral Radiance,7.4,39.97,32.57,2022-05-27,567
3508412,Galarian Moltres V #TG20,Pokemon Astral Radiance,8.14,44.99,36.85,2022-05-27,539
3508411,Galarian Zapdos V #TG19,Pokemon Astral Radiance,6.92,38.82,31.9,2022-05-27,608
3489677,Garchomp V #178,Pokemon Astral Radiance,6.51,40.57,34.06,2022-05-27,395
3508415,Garchomp V #TG23,Pokemon Astral Radiance,39.6,149.5,109.9,2022-05-27,1075
3489683,Gardenia's Vigor #184,Pokemon Astral Radiance,9.26,40.25,30.990000000000002,2022-05-27,456
3489690,Heatran VMAX #191,Pokemon Astral Radiance,6.28,34.99,28.71,2022-05-27,193
3489662,Hisuian Lilligant V #163,Pokemon Astral Radiance,16.71,58.69,41.98,2022-05-27,588
3489674,Hisuian Sneasler V #175,Pokemon Astral Radiance,25.69,78.77,53.08,2022-05-27,298
3489692,Hisuian Typhlosion VSTAR #193,Pokemon Astral Radiance,9.0,54.99,45.99,2022-05-27,233
3508406,Ice Rider Calyrex V #TG14,Pokemon Astral Radiance,5.99,31.0,25.009999999999998,2022-05-27,275
3489685,Irida #186,Pokemon Astral Radiance,15.99,58.71,42.72,2022-05-27,581
3489704,Irida #204,Pokemon Astral Radiance,12.81,40.99,28.18,2022-05-27,158
3489669,Jirachi V #170,Pokemon Astral Radiance,7.97,35.79,27.82,2022-05-27,443
3489670,Machamp V #171,Pokemon Astral Radiance,10.18,38.35,28.17,2022-05-27,172
3489671,Machamp V #172,Pokemon Astral Radiance,124.68,314.92,190.24,2022-05-27,788
3489693,Machamp VMAX #194,Pokemon Astral Radiance,10.07,49.5,39.43,2022-05-27,291
3489676,Origin Forme Dialga V #177,Pokemon Astral Radiance,44.55,124.99,80.44,2022-05-27,922
3489698,Origin Forme Dialga VSTAR #198,Pokemon Astral Radiance,13.01,49.65,36.64,2022-05-27,162
3489710,Origin Forme Dialga VSTAR #210,Pokemon Astral Radiance,11.6,49.99,38.39,2022-05-27,450
3489666,Origin Forme Palkia V #167,Pokemon Astral Radiance,41.5,135.0,93.5,2022-05-27,834
3489691,Origin Forme Palkia VSTAR #192,Pokemon Astral Radiance,14.23,47.63,33.400000000000006,2022-05-27,158
3489708,Origin Forme Palkia VSTAR #208,Pokemon Astral Radiance,8.75,35.48,26.729999999999997,2022-05-27,324
3489544,Radiant Greninja #46,Pokemon Astral Radiance,5.29,44.19,38.9,2022-05-27,1031
3508409,Shadow Rider Calyrex V #TG17,Pokemon Astral Radiance,6.14,31.88,25.74,2022-05-27,409
3508410,Shadow Rider Calyrex VMAX #TG18,Pokemon Astral Radiance,6.0,41.53,35.53,2022-05-27,555
3508405,Starmie V #TG13,Pokemon Astral Radiance,73.5,218.2,144.7,2022-05-27,1481
3508413,Zacian V #TG21,Pokemon Astral Radiance,8.49,47.81,39.32,2022-05-27,531
959609,Darkrai EX #118,Pokemon BREAKpoint,16.0,199.99,183.99,2016-03-02,565
959608,Espeon EX #117,Pokemon BREAKpoint,25.23,242.5,217.27,2016-03-02,437
959543,Espeon EX #52,Pokemon BREAKpoint,8.19,92.32,84.13,2016-03-02,298
959532,Greninja BREAK #41,Pokemon BREAKpoint,6.99,177.09,170.1,2016-03-02,327
959605,Gyarados EX #114,Pokemon BREAKpoint,19.99,170.45,150.45999999999998,2016-03-02,391
959615,Gyarados EX #123,Pokemon BREAKpoint,40.0,530.32,490.32000000000005,2016-03-02,841
959517,Gyarados EX #26,Pokemon BREAKpoint,7.5,122.5,115.0,2016-03-02,254
959612,Ho-Oh EX #121,Pokemon BREAKpoint,13.25,149.36,136.11,2016-03-02,351
959606,M Gyarados EX #115,Pokemon BREAKpoint,38.0,306.55,268.55,2016-03-02,476
959518,M Gyarados EX #27,Pokemon BREAKpoint,15.15,101.77,86.61999999999999,2016-03-02,270
959611,M Scizor EX #120,Pokemon BREAKpoint,15.0,123.01,108.01,2016-03-02,300
959568,M Scizor EX #77,Pokemon BREAKpoint,8.27,88.0,79.73,2016-03-02,346
959607,Manaphy EX #116,Pokemon BREAKpoint,7.0,80.0,73.0,2016-03-02,261
959610,Scizor EX #119,Pokemon BREAKpoint,10.23,125.72,115.49,2016-03-02,240
959613,Skyla #122,Pokemon BREAKpoint,33.32,275.36,242.04000000000002,2016-03-02,677
959350,Brigette #161,Pokemon BREAKthrough,19.99,240.0,220.01,2015-11-04,373
959249,Gengar [Holo] #60,Pokemon BREAKthrough,5.88,325.43,319.55,2015-11-04,246
959407,Gengar [Reverse Holo] #60,Pokemon BREAKthrough,7.8,299.99,292.19,2015-11-04,105
959351,Giovanni's Scheme #162,Pokemon BREAKthrough,9.13,150.0,140.87,2015-11-04,259
959345,Glalie EX #155,Pokemon BREAKthrough,5.9,92.41,86.50999999999999,2015-11-04,213
959343,Houndoom EX #153,Pokemon BREAKthrough,9.51,165.96,156.45000000000002,2015-11-04,364
959341,M Glalie EX #156,Pokemon BREAKthrough,9.57,165.0,155.43,2015-11-04,147
959344,M Houndoom EX #154,Pokemon BREAKthrough,16.5,226.77,210.27,2015-11-04,287
959210,M Houndoom EX #22,Pokemon BREAKthrough,9.12,112.36,103.24,2015-11-04,273
959348,M Mewtwo EX #159,Pokemon BREAKthrough,33.63,352.66,319.03000000000003,2015-11-04,389
959349,M Mewtwo EX #160,Pokemon BREAKthrough,30.0,378.54,348.54,2015-11-04,471
959252,M Mewtwo EX #63,Pokemon BREAKthrough,13.31,163.48,150.17,2015-11-04,300
959253,M Mewtwo EX #64,Pokemon BREAKthrough,11.51,140.0,128.49,2015-11-04,371
959346,Mewtwo EX #157,Pokemon BREAKthrough,17.49,275.0,257.51,2015-11-04,323
959347,Mewtwo EX #158,Pokemon BREAKthrough,16.86,197.5,180.64,2015-11-04,349
959352,Mewtwo EX #163,Pokemon BREAKthrough,35.99,524.64,488.65,2015-11-04,370
959353,Mewtwo EX #164,Pokemon BREAKthrough,46.89,486.69,439.8,2015-11-04,359
959251,Mewtwo EX #62,Pokemon BREAKthrough,6.48,57.9,51.42,2015-11-04,278
959238,Raichu BREAK #50,Pokemon BREAKthrough,5.29,55.49,50.2,2015-11-04,260
715637,Abra [1st Edition] #43,Pokemon Base Set,19.98,285.0,265.02,1995-06-01,400
630414,Alakazam #1,Pokemon Base Set,21.5,758.74,737.24,1995-06-01,1921
715590,Alakazam [1st Edition] #1,Pokemon Base Set,315.4,10300.0,9984.6,1995-06-01,152
715692,Alakazam [Shadowless] #1,Pokemon Base Set,62.51,4999.99,4937.48,1995-06-01,370
715612,Arcanine [1st Edition] #23,Pokemon Base Set,65.1,865.0,799.9,1995-06-01,207
715714,Arcanine [Shadowless] #23,Pokemon Base Set,7.0,187.92,180.92,1995-06-01,217
715708,Beedrill [Shadowless] #17,Pokemon Base Set,8.23,157.5,149.27,1995-06-01,221
715680,Bill [1st Edition] #91,Pokemon Base Set,15.19,133.82,118.63,1995-06-01,162
630415,Blastoise #2,Pokemon Base Set,75.0,2750.0,2675.0,1999-01-09,2652
715591,Blastoise [1st Edition] #2,Pokemon Base Set,784.48,22244.83,21460.350000000002,1995-06-01,191
715693,Blastoise [Shadowless] #2,Pokemon Base Set,173.98,7615.95,7441.97,1995-06-01,354
2189363,Booster Pack,Pokemon Base Set,416.11,671.66,255.54999999999995,1999-01-09,620
6245979,Booster Pack [Shadowless],Pokemon Base Set,987.19,1798.65,811.46,,111
715632,Bulbasaur [1st Edition] #44,Pokemon Base Set,85.0,1825.0,1740.0,1995-06-01,286
715735,Bulbasaur [Shadowless] #44,Pokemon Base Set,9.56,217.62,208.06,1995-06-01,820
715633,Caterpie [1st Edition] #45,Pokemon Base Set,19.99,268.89,248.89999999999998,1995-06-01,196
630416,Chansey #3,Pokemon Base Set,12.62,2409.01,2396.3900000000003,1995-06-01,2010
715592,Chansey [1st Edition] #3,Pokemon Base Set,242.5,40000.0,39757.5,1995-06-01,157
715694,Chansey [Shadowless] #3,Pokemon Base Set,39.04,2128.38,2089.34,1995-06-01,287
630417,Charizard #4,Pokemon Base Set,259.0,10430.9,10171.9,1999-01-09,2894
7096109,Charizard [1999-2000] #4,Pokemon Base Set,204.62,7769.05,7564.43,1999-10-08,162
715593,Charizard [1st Edition] #4,Pokemon Base Set,3558.56,266827.15,263268.59,1999-02-05,147
715695,Charizard [Shadowless] #4,Pokemon Base Set,514.05,5972.0,5457.95,1995-06-01,505
715634,Charmander [1st Edition] #46,Pokemon Base Set,72.84,1019.05,946.2099999999999,1995-06-01,599
715613,Charmeleon [1st Edition] #24,Pokemon Base Set,72.4,1037.41,965.0100000000001,1995-06-01,237
715715,Charmeleon [Shadowless] #24,Pokemon Base Set,6.11,118.99,112.88,1995-06-01,851
630418,Clefairy #5,Pokemon Base Set,14.84,1120.13,1105.2900000000002,1995-06-01,1758
630483,Clefairy Doll #70,Pokemon Base Set,5.48,110.0,104.52,1995-06-01,646
715659,Clefairy Doll [1st Edition] #70,Pokemon Base Set,34.39,505.45,471.06,1995-06-01,100
3839426,Clefairy Doll [Shadowless] #70,Pokemon Base Set,6.22,126.66,120.44,,111
715594,Clefairy [1st Edition] #5,Pokemon Base Set,198.05,8499.99,8301.94,1995-06-01,119
715696,Clefairy [Shadowless] #5,Pokemon Base Set,35.9,2237.5,2201.6,1995-06-01,294
715669,Defender [1st Edition] #80,Pokemon Base Set,16.54,191.82,175.28,1995-06-01,138
630485,Devolution Spray #72,Pokemon Base Set,5.61,164.37,158.76,1995-06-01,631
715661,Devolution Spray [1st Edition] #72,Pokemon Base Set,23.78,505.46,481.67999999999995,1995-06-01,128
715614,Dewgong [1st Edition] #25,Pokemon Base Set,18.99,298.96,279.96999999999997,1995-06-01,337
715635,Diglett [1st Edition] #47,Pokemon Base Set,15.83,215.77,199.94,1995-06-01,390
715636,Doduo [1st Edition] #48,Pokemon Base Set,13.37,207.38,194.01,1995-06-01,389
715685,Double Colorless Energy [1st Edition] #96,Pokemon Base Set,15.87,550.0,534.13,1995-06-01,158
630431,Dragonair #18,Pokemon Base Set,7.96,174.6,166.64,1995-06-01,870
715607,Dragonair [1st Edition] #18,Pokemon Base Set,114.25,2285.5,2171.25,1995-06-01,161
715709,Dragonair [Shadowless] #18,Pokemon Base Set,16.05,435.0,418.95,1995-06-01,165
715615,Dratini [1st Edition] #26,Pokemon Base Set,37.5,700.92,663.42,1995-06-01,210
715638,Drowzee [1st Edition] #49,Pokemon Base Set,13.3,223.78,210.48,1995-06-01,376
715608,Dugtrio [1st Edition] #19,Pokemon Base Set,31.05,600.0,568.95,1995-06-01,160
715710,Dugtrio [Shadowless] #19,Pokemon Base Set,8.19,122.95,114.76,1995-06-01,164
715609,Electabuzz [1st Edition] #20,Pokemon Base Set,67.97,729.91,661.9399999999999,1995-06-01,132
715711,Electabuzz [Shadowless] #20,Pokemon Base Set,8.5,192.83,184.33,1995-06-01,201
630434,Electrode #21,Pokemon Base Set,5.0,144.71,139.71,1995-06-01,755
715610,Electrode [1st Edition] #21,Pokemon Base Set,40.46,490.0,449.54,1995-06-01,149
715712,Electrode [Shadowless] #21,Pokemon Base Set,9.3,138.21,128.91,1995-06-01,195
715681,Energy Removal [1st Edition] #92,Pokemon Base Set,13.99,164.24,150.25,1995-06-01,143
715670,Energy Retrieval [1st Edition] #81,Pokemon Base Set,12.69,140.0,127.31,1995-06-01,111
715616,Farfetch'd [1st Edition] #27,Pokemon Base Set,30.31,309.91,279.6,1995-06-01,168
715686,Fighting Energy [1st Edition] #97,Pokemon Base Set,7.12,116.28,109.16,1995-06-01,208
715687,Fire Energy [1st Edition] #98,Pokemon Base Set,7.99,190.0,182.01,1995-06-01,218
715671,Full Heal [1st Edition] #82,Pokemon Base Set,9.37,161.25,151.88,1995-06-01,264
715639,Gastly [1st Edition] #50,Pokemon Base Set,17.94,248.78,230.84,1995-06-01,379
715688,Grass Energy [1st Edition] #99,Pokemon Base Set,11.29,125.3,114.00999999999999,1995-06-01,212
715617,Growlithe [1st Edition] #28,Pokemon Base Set,31.6,510.02,478.41999999999996,1995-06-01,154
715682,Gust of Wind [1st Edition] #93,Pokemon Base Set,15.94,119.55,103.61,1995-06-01,152
630419,Gyarados #6,Pokemon Base Set,11.99,560.0,548.01,1995-06-01,2594
715595,Gyarados [1st Edition] #6,Pokemon Base Set,262.11,8719.56,8457.449999999999,1995-06-01,121
715697,Gyarados [Shadowless] #6,Pokemon Base Set,27.04,2550.0,2522.96,1995-06-01,568
715618,Haunter [1st Edition] #29,Pokemon Base Set,28.5,516.0,487.5,1995-06-01,265
630420,Hitmonchan #7,Pokemon Base Set,7.23,780.0,772.77,1995-06-01,2402
715596,Hitmonchan [1st Edition] #7,Pokemon Base Set,179.0,11999.0,11820.0,1995-06-01,114
715698,Hitmonchan [Shadowless] #7,Pokemon Base Set,17.91,1766.0,1748.09,1995-06-01,511
630486,Imposter Professor Oak #73,Pokemon Base Set,5.6,104.38,98.78,1995-06-01,763
630487,Item Finder #74,Pokemon Base Set,6.99,77.0,70.01,1995-06-01,664
715619,Ivysaur [1st Edition] #30,Pokemon Base Set,47.0,859.73,812.73,1995-06-01,287
715721,Ivysaur [Shadowless] #30,Pokemon Base Set,7.15,150.0,142.85,1995-06-01,248
715620,Jynx [1st Edition] #31,Pokemon Base Set,29.49,350.0,320.51,1995-06-01,190
715621,Kadabra [1st Edition] #32,Pokemon Base Set,40.02,832.2,792.1800000000001,1995-06-01,213
715622,Kakuna [1st Edition] #33,Pokemon Base Set,17.53,200.0,182.47,1995-06-01,348
715640,Koffing [1st Edition] #51,Pokemon Base Set,12.43,207.17,194.73999999999998,1995-06-01,411
715689,Lightning Energy [1st Edition] #100,Pokemon Base Set,11.99,145.0,133.01,1995-06-01,207
715597,Machamp [1st Edition] #8,Pokemon Base Set,9.56,900.0,890.44,1999-01-09,2797
715623,Machoke [1st Edition] #34,Pokemon Base Set,30.5,569.3,538.8,1995-06-01,216
715641,Machop [1st Edition] #52,Pokemon Base Set,14.25,217.73,203.48,1995-06-01,403
715624,Magikarp [1st Edition] #35,Pokemon Base Set,49.0,671.23,622.23,1995-06-01,219
715625,Magmar [1st Edition] #36,Pokemon Base Set,20.77,275.36,254.59,1995-06-01,308
715642,Magnemite [1st Edition] #53,Pokemon Base Set,12.99,188.18,175.19,1995-06-01,404
630422,Magneton #9,Pokemon Base Set,12.64,619.62,606.98,1995-06-01,1571
715598,Magneton [1st Edition] #9,Pokemon Base Set,198.83,7900.0,7701.17,1995-06-01,157
715700,Magneton [Shadowless] #9,Pokemon Base Set,24.99,924.5,899.51,1995-06-01,304
715672,Maintenance [1st Edition] #83,Pokemon Base Set,9.49,125.69,116.2,1995-06-01,233
715643,Metapod [1st Edition] #54,Pokemon Base Set,18.5,212.34,193.84,1995-06-01,348
630423,Mewtwo #10,Pokemon Base Set,17.26,681.67,664.41,1995-06-01,2324
6480594,Mewtwo [1999-2000] #10,Pokemon Base Set,12.32,3644.62,3632.2999999999997,,132
715599,Mewtwo [1st Edition] #10,Pokemon Base Set,325.0,8000.0,7675.0,1995-06-01,142
715701,Mewtwo [Shadowless] #10,Pokemon Base Set,39.99,3575.0,3535.01,1995-06-01,474
630424,Nidoking #11,Pokemon Base Set,15.0,563.62,548.62,1995-06-01,1668
715600,Nidoking [1st Edition] #11,Pokemon Base Set,312.82,5195.13,4882.31,1995-06-01,157
715702,Nidoking [Shadowless] #11,Pokemon Base Set,36.28,1127.78,1091.5,1995-06-01,346
715644,Nidoran [1st Edition] #55,Pokemon Base Set,17.01,231.87,214.86,1995-06-01,437
715626,Nidorino [1st Edition] #37,Pokemon Base Set,19.99,300.0,280.01,1995-06-01,278
715728,Nidorino [Shadowless] #37,Pokemon Base Set,5.85,114.58,108.73,1995-06-01,252
630425,Ninetales #12,Pokemon Base Set,10.0,465.47,455.47,1995-06-01,2240
715601,Ninetales [1st Edition] #12,Pokemon Base Set,314.32,5499.5,5185.18,1995-06-01,106
715703,Ninetales [Shadowless] #12,Pokemon Base Set,38.38,2038.67,2000.29,1995-06-01,436
715645,Onix [1st Edition] #56,Pokemon Base Set,17.68,293.41,275.73,1995-06-01,437
630435,Pidgeotto #22,Pokemon Base Set,6.97,199.24,192.27,1995-06-01,690
715611,Pidgeotto [1st Edition] #22,Pokemon Base Set,60.8,590.0,529.2,1995-06-01,120
715713,Pidgeotto [Shadowless] #22,Pokemon Base Set,10.25,137.32,127.07,1995-06-01,136
715646,Pidgey [1st Edition] #57,Pokemon Base Set,17.85,195.56,177.71,1995-06-01,420
7210649,Pikachu [1999-2000] #58,Pokemon Base Set,7.34,162.61,155.27,,110
1089418,Pikachu [1st Edition Red Cheeks] #58,Pokemon Base Set,224.11,4197.95,3973.8399999999997,,258
715647,Pikachu [1st Edition] #58,Pokemon Base Set,90.26,1373.73,1283.47,1995-06-01,335
1341321,Pikachu [E3] #58,Pokemon Base Set,18.05,638.38,620.33,,146
2021481,Pikachu [Shadowless Red Cheeks] #58,Pokemon Base Set,30.05,575.28,545.23,,816
715749,Pikachu [Shadowless] #58,Pokemon Base Set,13.2,236.0,222.8,1995-06-01,773
715673,PlusPower [1st Edition] #84,Pokemon Base Set,14.55,200.0,185.45,1995-06-01,171
715676,Pokedex [1st Edition] #87,Pokemon Base Set,16.2,250.0,233.8,1995-06-01,114
630489,Pokemon Breeder #76,Pokemon Base Set,7.99,116.75,108.76,1995-06-01,691
715665,Pokemon Breeder [1st Edition] #76,Pokemon Base Set,28.41,399.99,371.58,1995-06-01,123
6663726,Pokemon Breeder [Shadowless] #76,Pokemon Base Set,7.0,149.91,142.91,,130
715674,Pokemon Center [1st Edition] #85,Pokemon Base Set,10.31,143.94,133.63,1995-06-01,223
715675,Pokemon Flute [1st Edition] #86,Pokemon Base Set,14.99,251.75,236.76,1995-06-01,144
630490,Pokemon Trader #77,Pokemon Base Set,5.52,159.25,153.73,1995-06-01,741
715666,Pokemon Trader [1st Edition] #77,Pokemon Base Set,29.99,369.67,339.68,1995-06-01,139
3951781,Pokemon Trader [Shadowless] #77,Pokemon Base Set,7.49,175.0,167.51,,116
715648,Poliwag [1st Edition] #59,Pokemon Base Set,17.02,208.43,191.41,1995-06-01,364
715627,Poliwhirl [1st Edition] #38,Pokemon Base Set,19.99,340.0,320.01,1995-06-01,305
630426,Poliwrath #13,Pokemon Base Set,12.99,412.71,399.71999999999997,1995-06-01,2071
715602,Poliwrath [1st Edition] #13,Pokemon Base Set,244.13,5550.52,5306.39,1995-06-01,146
