id,product-name,console-name,loose-price,psa-10-price,price-difference,release-date,sales-volume
3560971,Charizard #6,Pokemon 1999 Topps TV,11.39,170.09,158.7,1999-06-01,398
3561207,Charizard #6,Pokemon 2000 Topps Chrome,98.52,605.0,506.48,2000-06-01,138
3975698,Charizard #PC3,Pokemon 2000 Topps TV Clear,50.54,199.65,149.11,2000-06-01,162
959105,Ampharos EX #87,Pokemon Ancient Origins,11.97,110.75,98.78,2015-08-12,139
2244980,Booster Pack,Pokemon Ancient Origins,31.0,97.08,66.08,2015-08-12,122
959117,Energy Retrieval #99,Pokemon Ancient Origins,16.25,64.63,48.379999999999995,2015-08-12,132
959075,Giratina EX #57,Pokemon Ancient Origins,8.99,150.0,141.01,2015-08-12,267
959111,Giratina EX #93,Pokemon Ancient Origins,37.64,355.0,317.36,2015-08-12,215
959040,Gyarados #21,Pokemon Ancient Origins,17.12,325.0,307.88,2015-08-12,744
959137,Gyarados [Reverse Holo] #21,Pokemon Ancient Origins,14.22,250.0,235.78,2015-08-12,250
959107,Hoopa EX #89,Pokemon Ancient Origins,14.4,116.57,102.16999999999999,2015-08-12,144
959104,Kyurem EX #86,Pokemon Ancient Origins,12.57,128.39,115.82,2015-08-12,179
959112,Lugia EX #94,Pokemon Ancient Origins,49.99,630.48,580.49,2015-08-12,376
959047,M Ampharos EX #28,Pokemon Ancient Origins,11.87,85.0,73.13,2015-08-12,239
959106,M Ampharos EX #88,Pokemon Ancient Origins,19.74,160.76,141.01999999999998,2015-08-12,161
959116,M Rayquaza EX #98,Pokemon Ancient Origins,213.38,2000.0,1786.62,2015-08-12,422
959027,M Sceptile EX #8,Pokemon Ancient Origins,9.56,100.81,91.25,2015-08-12,232
959103,M Sceptile EX #85,Pokemon Ancient Origins,36.81,317.07,280.26,2015-08-12,266
959062,M Tyranitar EX #43,Pokemon Ancient Origins,11.75,98.75,87.0,2015-08-12,380
959110,M Tyranitar EX #92,Pokemon Ancient Origins,35.0,231.37,196.37,2015-08-12,274
959108,Machamp EX #90,Pokemon Ancient Origins,10.78,121.99,111.21,2015-08-12,195
959115,Primal Groudon #97,Pokemon Ancient Origins,83.0,769.63,686.63,2015-08-12,299
959114,Primal Kyogre #96,Pokemon Ancient Origins,58.24,698.93,640.6899999999999,2015-08-12,416
959102,Sceptile EX #84,Pokemon Ancient Origins,15.0,222.48,207.48,2015-08-12,226
959113,Steven #95,Pokemon Ancient Origins,18.94,185.07,166.13,2015-08-12,200
959109,Tyranitar EX #91,Pokemon Ancient Origins,19.81,271.0,251.19,2015-08-12,240
887948,Arcanine #H2,Pokemon Aquapolis,98.12,1412.87,1314.75,2003-01-15,106
842597,Cubone #72,Pokemon Aquapolis,5.95,81.75,75.8,2003-01-15,183
842600,Eevee #75,Pokemon Aquapolis,14.99,133.35,118.36,2003-01-15,191
887967,Entei #H8,Pokemon Aquapolis,90.83,801.02,710.1899999999999,2003-01-15,106
887968,Espeon #H9,Pokemon Aquapolis,171.85,1136.96,965.11,2003-01-15,123
842603,Grimer #79,Pokemon Aquapolis,5.0,64.1,59.099999999999994,2003-01-15,121
887939,Houndoom #H11,Pokemon Aquapolis,149.66,2784.59,2634.9300000000003,2003-01-15,124
887940,Hypno #H12,Pokemon Aquapolis,53.2,483.52,430.32,2003-01-15,117
887935,Kingdra #148,Pokemon Aquapolis,187.51,1610.8,1423.29,2003-01-15,143
