id,product-name,console-name,loose-price,psa-10-price,price-difference,release-date,sales-volume
3560971,Charizard #6,Pokemon 1999 Topps TV,11.39,170.0,158.61,1999-06-01,413
3561028,Pikachu #25,Pokemon 1999 Topps TV,5.63,83.38,77.75,1999-06-01,185
3561207,Charizard #6,Pokemon 2000 Topps Chrome,105.5,619.08,513.58,2000-06-01,141
3975698,Charizard #PC3,Pokemon 2000 Topps TV Clear,51.07,192.84,141.77,2000-06-01,161
959105,Ampharos EX #87,Pokemon Ancient Origins,12.31,110.75,98.44,2015-08-12,148
2244980,Booster Pack,Pokemon Ancient Origins,31.0,97.08,66.08,2015-08-12,137
959117,Energy Retrieval #99,Pokemon Ancient Origins,20.81,58.46,37.650000000000006,2015-08-12,132
959034,Entei #15,Pokemon Ancient Origins,5.19,139.18,133.99,2015-08-12,245
959075,Giratina EX #57,Pokemon Ancient Origins,9.63,150.0,140.37,2015-08-12,280
959111,Giratina EX #93,Pokemon Ancient Origins,35.0,355.0,320.0,2015-08-12,211
959040,Gyarados #21,Pokemon Ancient Origins,17.12,312.5,295.38,2015-08-12,747
959137,Gyarados [Reverse Holo] #21,Pokemon Ancient Origins,13.07,250.0,236.93,2015-08-12,240
959107,Hoopa EX #89,Pokemon Ancient Origins,14.87,116.44,101.57,2015-08-12,153
959104,Kyurem EX #86,Pokemon Ancient Origins,14.35,128.07,113.72,2015-08-12,184
959086,Lugia EX #68,Pokemon Ancient Origins,5.13,76.75,71.62,2015-08-12,429
959112,Lugia EX #94,Pokemon Ancient Origins,55.25,599.98,544.73,2015-08-12,378
959047,M Ampharos EX #28,Pokemon Ancient Origins,10.7,85.0,74.3,2015-08-12,240
959106,M Ampharos EX #88,Pokemon Ancient Origins,19.74,160.76,141.01999999999998,2015-08-12,161
959116,M Rayquaza EX #98,Pokemon Ancient Origins,210.43,1912.25,1701.82,2015-08-12,392
959027,M Sceptile EX #8,Pokemon Ancient Origins,9.56,100.81,91.25,2015-08-12,232
959103,M Sceptile EX #85,Pokemon Ancient Origins,36.26,303.44,267.18,2015-08-12,278
959062,M Tyranitar EX #43,Pokemon Ancient Origins,11.09,98.62,87.53,2015-08-12,405
959110,M Tyranitar EX #92,Pokemon Ancient Origins,38.46,231.37,192.91,2015-08-12,242
959108,Machamp EX #90,Pokemon Ancient Origins,11.0,115.26,104.26,2015-08-12,194
959115,Primal Groudon #97,Pokemon Ancient Origins,94.01,791.5,697.49,2015-08-12,293
959114,Primal Kyogre #96,Pokemon Ancient Origins,59.62,710.0,650.38,2015-08-12,391
